Nissan dans une mauvaise passe,13 février 2019," | 			Anne Beade - Agence France-Presse	
",Économie
Nouvelle p.-d.g. pour Anges Québec Capital,13 février 2019," | 			Le Devoir 
",Économie
Perte pour Shopify,13 février 2019," | 			La Presse canadienne 
",Économie
Molson Coors fait face au déclin de la bière,13 février 2019," | 			La Presse canadienne 
",Économie
Les négociations se poursuivent à ABI,13 février 2019," | 			La Presse canadienne 
",Économie
Novaquark ouvre un nouveau studio de jeux vidéo à Montréal,13 février 2019," | 			Le Devoir 
",Économie
Les PME se méfient de la taxe sur  le carbone,13 février 2019," | 			Andy Blatchford - La Presse canadienne	
",Économie
Kyle Shewfelt espère que la gymnastique canadienne saura se relever,13 février 2019," | 			Donna Spencer - La Presse canadienne	
",Sports
Raonic et Shapovalov victorieux à Rotterdam,13 février 2019," | 			La Presse canadienne 
",Sports
Les Alouettes s’entendent avec deux de leurs vétérans,13 février 2019," | 			La Presse canadienne 
",Sports
Cent ans d’incertitude,13 février 2019," | 			Francine Pelletier 
",Chroniques
Le Canadien soumet Michael Chaput au ballottage,13 février 2019," | 			La Presse canadienne 
",Sports
Deuxième partie du témoignage d'Homa Hoodfar sur la métamorphose de l'Iran,13 février 2019,,Vidéos
Un registre des armes inadapté à la réalité des communautés autochtones,13 février 2019," | 			Fabien Deglise 
",Québec
Le déficit fédéral sera moindre que prévu,13 février 2019," | 			La Presse canadienne 
",Économie
Notre choix ce soir,13 février 2019," | 			Amélie Gaudreau 
",Écrans
Milieux humides: la CAQ veut réduire les sources d’irritation,13 février 2019," | 			Le Devoir 
",Québec
Guaidó annonce l’entrée de l’aide américaine le 23 février au Venezuela,13 février 2019," | 			Maria Isabel Sanchez - Agence France-Presse	
",Amériques
Réseau de blanchiment d’argent démantelé à Montréal et à Toronto,13 février 2019," | 			Le Devoir 
",Société
Âge légal pour consommer du cannabis: la consultation tourne court,13 février 2019," | 			Marco Bélair-Cirino 
",Québec
Les conséquences d’un Brexit sans accord,13 février 2019, | Hubert Rioux et Stéphane Paquin,Idées
Les trois piliers du Parti conservateur,13 février 2019, | Marc André Bodet,Idées
Registre des armes: les Autochtones auraient voulu être consultés,13 février 2019," | 			Le Devoir 
",Société
Armes à feu: une loi inadaptée aux Autochtones,13 février 2019, | Noah Swappie,Libre opinion
Rectificatifs,13 février 2019,"

158




Le narcotrafiquant mexicain «El Chapo» déclaré coupable

            Le célèbre narcotrafiquant mexicain encourt la perpétuité.        

15813 février 2019
 | 			Laura  Bonilla Cal - Agence France-Presse	

 |
        Amériques



",Amériques
Le narcotrafiquant mexicain «El Chapo» déclaré coupable,13 février 2019," | 			Laura  Bonilla Cal - Agence France-Presse	
",Amériques
"De retour avec le Canadien, Dale Weise se «sent revivre»",13 février 2019," | 			Alexis Bélanger-Champagne - La Presse canadienne	
",Sports
Les fonctionnaires sont furieux d’avoir été traités d’ayatollahs par Lamontagne,13 février 2019," | 			Patrice Bergeron - La Presse canadienne	
",Québec
Réseau international de blanchiment d’argent: 14 suspects arrêtés au Québec et en Ontario,13 février 2019," | 			Améli Pineda 
",Société
Quelques oeuvres de l'exposition «Dans la Chambre des merveilles»,13 février 2019,,Arts visuels
Congédiement de Louis Robert: la protectrice du citoyen enquête,13 février 2019," | 			Le Devoir 
",Québec
L’équité salariale bientôt renforcée,13 février 2019," | 			Isabelle Porter 
",Québec
De l’amiante et des hommes,13 février 2019," | 			Jean-François Nadeau 
",Société
"Le Brexit, le canari dans la mine de la mondialisation, dit Mark Carney",13 février 2019," | 			Éric Desrosiers 
",Économie
Quoi surveiller aujourd’hui?,13 février 2019," | 			Geneviève Tremblay 
",Société
"«Mythe», la nouvelle oasis de paix de Mykalle Bielinski",13 février 2019," | 			Christian Saint-Pierre 
",Théâtre
Le Québec débordé de neige,13 février 2019," | 			Jeanne Corriveau 
	, 		Guillaume Lepage 
",Montréal
"Réforme du mode de scrutin, réponse aux partisans du statu quo",13 février 2019," | Jean-Pierre Charbonneau, Françoise David, Alain Marois, Audrey Paquet, Luc Bordeleau, Jean-Sébastien Dufresne",Idées
La ministre Jody Wilson-Raybould démissionne du cabinet Trudeau,13 février 2019," | 			Hélène Buzzetti 
",Canada
«Dans la Chambre des merveilles»: de la fantaisie à la science,13 février 2019," | 			Caroline Montpetit 
",Arts visuels
Le procès controversé des 12 dirigeants nationalistes catalans s’ouvre en Espagne,13 février 2019," | 			Guillaume Lepage 
",Europe
