,"Joe Penna, réalisateur d'«Arctique», un Robinson du Nord",4811 février 2019,,culture,/culture/cinema/547551/joe-penna-robinson-du-nord
49,Un film chinois de Zhang Yimou déprogrammé du festival du film de Berlin,11 février 2019,Agence France-Presse,culture,/culture/cinema/547611/un-film-chinois-de-zhang-yimou-deprogramme-de-la-berlinale
50,Frappe de la GRC contre un réseau international de blanchiment d’argent,11 février 2019,Ugo Giguère - La Presse canadienne,societe,/societe/547609/frappe-de-la-grc-contre-un-reseau-de-blanchiment-d-argent
51,L’Espagne prépare le procès controversé de 12 séparatistes catalans,11 février 2019,"Joseph Wilson - Associated Press		, 		Aritz Parra - Associated Press",monde,/monde/europe/547606/l-espagne-prepare-le-proces-controverse-de-12-separatistes-catalans
52,Le Grincheux du 11 février,11 février 2019,Pascal,societe,/societe/environnement/547613/le-grincheux-du-11-fevrier
53,Une «nouvelle pierre à l’édifice» contre les aliments ultratransformés,11 février 2019,Ivan Couronne - Agence France-Presse,societe,/societe/science/547610/une-nouvelle-pierre-a-l-edifice-contre-les-aliments-ultratransformes
54,Syrie: le dernier bastion du groupe État islamique sous pression,11 février 2019,Maya Gebeily - Agence France-Presse,monde,/monde/moyen-orient/547591/syrie-le-dernier-bastion-du-groupe-arme-etat-islamique-sous-pression
55,La Chine proteste après les critiques turques sur son traitement des Ouïghours,11 février 2019,Agence France-Presse,monde,/monde/asie/547612/la-chine-proteste-apres-les-critiques-turques-sur-le-traitement-des-ouighours
56,La liberté au détour de la frontière,11 février 2019,Caroline Montpetit,culture,/culture/547546/mois-de-l-histoire-des-noirs-saint-armand-de-l-esclavage-au-paradis
57,L’affaire Bissonnette: pour que la haine ne change pas de camp,11 février 2019,Djamel Ighil,opinion,/opinion/libre-opinion/547547/l-affaire-bissonnette-pour-que-la-haine-ne-change-pas-de-camp
58,Les mythes économiques quant à l’immigration,12 février 2019,Vincent Geloso,opinion,/opinion/idees/547635/emploi-les-mythes-economiques-quant-a-l-immigration
59,Controverse entre Israël et Total,12 février 2019,Agence France-Presse,economie,/economie/547643/controverse-entre-israel-et-total
60,Nouveau fonds pour Cycle Capital,12 février 2019,Le Devoir,economie,/economie/547646/nouveau-fonds-pour-cycle-capital
61,"Trente ans après la fatwa le condamnant, Salman Rushdie ne veut plus vivre caché",12 février 2019,Alain Jean-Robert - Agence France-Presse,lire,/lire/547640/trente-ans-apres-la-fatwa-le-condamnant-salman-rushdie-ne-veut-plus-vivre-cache
62,Un peu plus d’humanité,12 février 2019,"Robert Perreault, ex-ministre de l’Immigration au Québec",opinion,/opinion/lettres/547657/lettre-un-peu-plus-d-humanite
63,Une loi injuste,12 février 2019,Jean-Charles Merleau,opinion,/opinion/lettres/547654/lettre-une-loi-injuste
64,On n’a encore rien vu,12 février 2019,Pierre Desrosiers,opinion,/opinion/lettres/547656/lettre-on-n-a-encore-rien-vu
66,Hockey: Folin précédé par sa réputation,12 février 2019,Alexis Bélanger-Champagne - La Presse canadienne,sports,/sports/547637/hockey-folin-precede-par-sa-reputation
67,Football: le ton monte entre la LCF et le syndicat des joueurs,12 février 2019,La Presse canadienne,sports,/sports/547627/football-le-ton-monte-entre-la-lcf-et-le-syndicat-des-joueurs
68,États-Unis: le risque de récession en 2020 proche de 50%,12 février 2019,Le Devoir,economie,/economie/547663/etats-unis-le-risque-de-recession-en-2020-proche-de-50
69,Cameco renoue avec les profits,12 février 2019,La Presse canadienne,economie,/economie/547661/cameco-renoue-avec-les-profits
70,«Vice Canada» confirme le départ de quatre personnes,12 février 2019,Le Devoir,culture,/culture/medias/547632/vice-canada-confirme-le-depart-de-quatre-personnes
